Depth(m),Voltage(V),Current(mA),# Counts
8.3,0.886496,5.909972,17605
8.325,0.732511,4.883406,14547
8.35,0.834882,5.565881,16580
8.375,0.93398,6.226535,18548
8.4,0.63583,4.238865,12627
8.425,0.826825,5.512169,16420
8.45,0.666445,4.44297,13235
8.475,0.884028,5.893523,17556
8.5,0.854218,5.694789,16964
8.525,0.545544,3.636958,10834
8.55,0.673696,4.49131,13379
8.575,0.606775,4.045166,12050
8.6,0.849384,5.662562,16868
8.625,0.74943,4.996201,14883
8.65,0.629384,4.195895,12499
8.675,0.954978,6.366521,18965
8.7,0.922751,6.151674,18325
8.725,0.855024,5.700161,16980
8.75,0.63024,4.201602,12516
8.775,0.899336,5.995575,17860
8.8,0.854218,5.694789,16964
8.825,1.001707,6.67805,19893
8.85,0.797015,5.313436,15828
8.875,0.824408,5.496055,16372
8.9,0.932419,6.216129,18517
8.925,0.906638,6.044251,18005
8.95,0.973509,6.490058,19333
8.975,0.807439,5.382925,16035
9,0.956539,6.376928,18996
9.025,1.00493,6.699535,19957
9.05,0.95095,6.339665,18885
9.075,0.887251,5.915007,17620
9.1,0.769572,5.13048,15283
9.125,0.82033,5.468864,16291
9.15,0.703507,4.690043,13971
9.175,0.592273,3.948486,11762
9.2,0.693838,4.625589,13779
9.225,0.804216,5.361441,15971
9.25,0.85583,5.705532,16996
9.275,0.839716,5.598108,16676
9.3,1.048437,6.989578,20821
9.325,0.767155,5.114366,15235
9.35,0.925118,6.167452,18372
9.375,0.686587,4.577249,13635
9.4,0.956539,6.376928,18996
9.425,1.079103,7.194018,21430
9.45,0.756681,5.044541,15027
9.475,0.5536,3.690669,10994
9.5,0.83735,5.58233,16629
9.525,0.907443,6.049623,18021
9.55,1.01057,6.737132,20069
9.575,0.901753,6.011688,17908
9.6,0.810662,5.40441,16099
9.625,0.894502,5.963347,17764
9.65,0.918723,6.124818,18245
9.675,0.90981,6.0654,18068
9.7,0.647915,4.319432,12867
9.725,0.630996,4.206638,12531
9.75,0.731705,4.878035,14531
9.775,0.904976,6.033173,17972
9.8,0.926729,6.178195,18404
9.825,0.776017,5.17345,15411
9.85,0.593079,3.953857,11778
9.875,0.687393,4.58262,13651
9.9,0.640664,4.271092,12723
9.925,0.645498,4.303319,12819
9.95,0.964596,6.43064,19156
9.975,0.865498,5.769985,17188
10,0.815546,5.436973,16196
10.025,1.07019,7.1346,21253
10.05,0.94531,6.302067,18773
10.075,0.817157,5.447715,16228
10.1,0.835688,5.571252,16596
10.125,1.007347,6.715648,20005
10.15,0.734978,4.899855,14596
10.175,0.751897,5.01265,14932
10.2,0.784124,5.227497,15572
10.225,0.712369,4.749126,14147
10.25,0.784124,5.227497,15572
10.275,0.927535,6.183566,18420
10.3,0.859858,5.732387,17076
10.325,0.992795,6.618631,19716
10.35,0.911421,6.076143,18100
10.375,0.984738,6.564919,19556
10.4,0.726065,4.840436,14419
10.425,0.955734,6.371557,18980
10.45,0.96948,6.463203,19253
10.475,1.030712,6.871412,20469
10.5,0.917061,6.11374,18212
10.525,0.972653,6.484352,19316
10.55,1.035546,6.903639,20565
10.575,0.913838,6.092256,18148
10.6,0.696306,4.642038,13828
10.625,0.796965,5.3131,15827
10.65,0.867109,5.780728,17220
10.675,0.682559,4.550393,13555
10.7,0.823603,5.490685,16356
10.725,0.938814,6.258762,18644
10.75,0.977487,6.516579,19412
10.775,0.68981,4.598734,13699
10.8,0.676919,4.512794,13443
10.825,0.688199,4.587991,13667
10.85,0.618911,4.12607,12291
10.875,0.78493,5.232868,15588
10.9,0.734173,4.894484,14580
10.925,1.045214,6.968094,20757
10.95,0.771183,5.141222,15315
10.975,0.830854,5.539025,16500
11,0.80341,5.35607,15955
11.025,0.722843,4.818952,14355
11.05,0.802605,5.350698,15939
11.075,0.88,5.866667,17476
11.1,0.680142,4.534279,13507
11.125,0.841327,5.60885,16708
11.15,0.745452,4.96968,14804
11.175,0.907393,6.049287,18020
11.2,0.975875,6.505836,19380
11.225,0.837299,5.581994,16628
11.25,0.697867,4.652445,13859
11.275,0.898531,5.990203,17844
11.3,0.834076,5.56051,16564
11.325,0.842939,5.619593,16740
11.35,0.946065,6.307103,18788
11.375,0.879194,5.861296,17460
11.4,0.704312,4.695414,13987
11.425,0.647109,4.314061,12851
11.45,0.561657,3.744381,11154
11.475,0.784074,5.227161,15571
11.5,0.652749,4.351659,12963
11.525,0.798576,5.323842,15859
11.55,0.742179,4.94786,14739
11.575,0.863886,5.759243,17156
11.6,0.884028,5.893523,17556
11.625,0.777679,5.184527,15444
11.65,0.836493,5.576622,16612
11.675,0.937203,6.24802,18612
11.7,0.826825,5.512169,16420
11.725,0.661611,4.410742,13139
11.75,0.793793,5.291951,15764
11.775,0.514122,3.427482,10210
11.8,0.55924,3.728267,11106
11.825,0.805022,5.366812,15987
11.85,0.791325,5.275502,15715
11.875,0.728533,4.856885,14468
11.9,0.859858,5.732387,17076
11.925,0.614076,4.093843,12195
11.95,0.71967,4.797802,14292
11.975,0.763177,5.087846,15156
12,0.964646,6.430976,19157
12.025,0.795404,5.302693,15796
12.05,0.977537,6.516914,19413
12.075,1.044408,6.962722,20741
12.1,0.899336,5.995575,17860
12.125,0.95659,6.377264,18997
12.15,1.075074,7.167163,21350
12.175,0.996068,6.640451,19781
12.2,0.848579,5.65719,16852
12.225,0.747819,4.985458,14851
12.25,0.942843,6.285618,18724
12.275,0.789764,5.265095,15684
12.3,0.800238,5.33492,15892
12.325,0.930002,6.200015,18469
12.35,0.946116,6.307438,18789
12.375,0.597157,3.981048,11859
12.4,0.995262,6.63508,19765
12.425,0.899336,5.995575,17860
12.45,0.879194,5.861296,17460
12.475,0.832465,5.549767,16532
12.5,0.967819,6.452125,19220
12.525,1.00493,6.699535,19957
12.55,1.014598,6.763988,20149
12.575,0.827631,5.51754,16436
